"id","strategy_name","symbol","exchange","type","entry_price","exit_price","qty","fee","size","PNL","PNL_percentage","holding_period","opened_at","closed_at"
"df2260ed-e003-4bae-b08d-5a78bea6c8e2","FractalGeneticOptimization","BTC-USDT","Binance","long","17208.99","17312.732058518803","0.532","18.365556135132003","9155.182680000002","36.82521899687016","0.40223357942727755","49560.0","1673311500000.0","1673361060000.0"
"961ee4d5-7353-4ff6-9830-eeb75cd2a327","FractalGeneticOptimization","BTC-USDT","Binance","short","17421.7","17500.85909880614","0.527","18.40418864507084","9181.235900000001","-60.12103371590652","-0.6548250624505412","18960.0","1673379000000.0","1673397960000.0"
"1ed49d97-b0b3-4e9d-8928-454b6e7a7f52","FractalGeneticOptimization","BTC-USDT","Binance","short","17439.88","17339.56231639806","0.523","18.189648331476185","9121.05724","34.276500192339014","0.3757952536688501","50460.0","1673400600000.0","1673451060000.0"
"7691b55b-2011-4e30-b51c-df3e589679d4","FractalGeneticOptimization","BTC-USDT","Binance","long","17363.55","17453.414809455066","0.527","18.34854045458282","9150.59085","29.010214128237113","0.3170310486370081","5460.0","1673454600000.0","1673460060000.0"
"0f34bb35-7fbc-4d75-aa54-6b1bce715c05","FractalGeneticOptimization","BTC-USDT","Binance","short","17479.18","17561.71530388665","0.526","18.431510929844375","9194.04868","-61.84508077422163","-0.6726642736703634","4560.0","1673462700000.0","1673467260000.0"
"670d9fe4-b596-4df0-a924-c587ec741b0f","FractalGeneticOptimization","BTC-USDT","Binance","short","17551.5","17630.347878510776","0.52","18.294560896825605","9126.78","-59.295457722429305","-0.6496865019473385","2760.0","1673476200000.0","1673478960000.0"
"81b892b0-07c1-41ae-9daa-c82e84bc9d53","FractalGeneticOptimization","BTC-USDT","Binance","short","18219.79","18007.01708720522","0.498","18.040949929428198","9073.45542","87.9199606423734","0.9689799152875918","33360.0","1673496900000.0","1673530260000.0"
"b21912d1-ce77-4d84-a4d2-c8f5e3eea17b","FractalGeneticOptimization","BTC-USDT","Binance","short","18151.76","18358.11619899053","0.504","18.400977604291228","9148.48704","-122.40450189551936","-1.337975354398265","10860.0","1673533800000.0","1673544660000.0"
"53acd54e-86c3-4039-81fa-0c6944757e00","FractalGeneticOptimization","BTC-USDT","Binance","short","18649.3","18951.1123371522","0.485","18.236199983518816","9044.9105","-164.61518350233655","-1.8199758140485367","3660.0","1673548200000.0","1673551860000.0"
"4651e8cd-49c5-4523-90f5-042bed4c88e6","FractalGeneticOptimization","BTC-USDT","Binance","short","18843.34","19127.635282396688","0.471","17.884329358008838","8875.21314","-151.78740736684887","-1.7102395736588345","66660.0","1673554500000.0","1673621160000.0"
"c5570697-9683-46cb-8c99-dc72e36b93a3","FractalGeneticOptimization","BTC-USDT","Binance","short","19256.06","19462.973872609953","0.454","17.57844137816492","8742.251240000001","-111.51733954308304","-1.275613528845266","9060.0","1673632800000.0","1673641860000.0"
"120356c5-be77-46b0-846c-2f0f17edefdd","FractalGeneticOptimization","BTC-USDT","Binance","short","19449.98","19639.220594671475","0.444","17.355605064034137","8635.79112","-101.37842909816915","-1.1739333164668897","960.0","1673644500000.0","1673645460000.0"
"97094979-cc97-4d3e-91e6-0b64e7ac8cb2","FractalGeneticOptimization","BTC-USDT","Binance","short","19849.410000000003","20102.86857496202","0.43","17.17947978723367","8535.2463","-126.16666702090073","-1.478184256040751","3660.0","1673650800000.0","1673654460000.0"
"ece60ef8-eb53-456c-998d-98289e4706e8","FractalGeneticOptimization","BTC-USDT","Binance","short","20717.85","21184.22837551956","0.38","15.922789782697434","7872.782999999999","-193.1465724801309","-2.4533455638257897","46860.0","1673659800000.0","1673706660000.0"
"96c23b15-c536-4c86-9deb-10126a97ee9c","FractalGeneticOptimization","BTC-USDT","Binance","long","20791.62","21280.128554757986","0.396","16.660412427684165","8233.48152","176.78897525647886","2.1471958712367267","122460.0","1673709300000.0","1673831760000.0"
"0f125009-bd64-4660-adae-ffddc0a03778","FractalGeneticOptimization","BTC-USDT","Binance","short","21209.31","20844.894682256017","0.396","16.653465054173385","8398.886760000001","127.65500077244425","1.5199038208302291","18060.0","1673838000000.0","1673856060000.0"
"94156135-97b1-41fb-8aae-2f504bf996fb","FractalGeneticOptimization","BTC-USDT","Binance","long","20803.3","21121.812055777704","0.41","17.189295942868856","8529.353","113.40064692599","1.3295339860595523","28860.0","1673860500000.0","1673889360000.0"
"4a953bca-44c8-4639-8884-44ead9cebf1b","FractalGeneticOptimization","BTC-USDT","Binance","short","21073.34","21266.37689428981","0.409","17.316944209764532","8618.99606","-96.26903397429658","-1.1169402248722755","1860.0","1673892900000.0","1673894760000.0"
"ad6a2c3d-463b-46d0-a119-b242c5c1916a","FractalGeneticOptimization","BTC-USDT","Binance","short","21338.93","21010.017980812474","0.4","16.93957919232499","8535.572","114.62522848268554","1.3429120916874178","18960.0","1673898300000.0","1673917260000.0"
"957d4a0d-0d05-4272-9d78-026ef8ffc244","FractalGeneticOptimization","BTC-USDT","Binance","long","21134.07","21394.604808406806","0.409","17.394227996638385","8643.83463","89.16450864174544","1.0315388072358975","36960.0","1673927100000.0","1673964060000.0"
"3ab76ed2-cb5d-4cb4-8f8e-1e594be3fc1b","FractalGeneticOptimization","BTC-USDT","Binance","short","21150.85","21359.866109670962","0.413","17.556925753294106","8735.301049999998","-103.88057904740202","-1.189204338268365","960.0","1673966700000.0","1673967660000.0"
"63e84c9c-fad4-4ad9-9d93-d62021832e0a","FractalGeneticOptimization","BTC-USDT","Binance","short","21338.93","21536.32136872061","0.405","17.364476804331847","8642.266650000001","-97.30798113617945","-1.1259543945705428","66660.0","1673983800000.0","1674050460000.0"
"d4c1a5ef-2642-4a75-8913-5f21881f43ad","FractalGeneticOptimization","BTC-USDT","Binance","long","20963.35","20628.779372380475","0.407","16.92799665455885","8532.083449999998","-153.09824209570482","-1.7943828490766207","9960.0","1674070200000.0","1674080160000.0"
"d3aa2b46-04d5-4b3d-adf5-985c1a5974dd","FractalGeneticOptimization","BTC-USDT","Binance","long","20756.44","21115.349139346537","0.404","16.916202812296003","8385.60176","128.08308948370563","1.5274167930877944","74760.0","1674081900000.0","1674156660000.0"
"79e8f4bf-5ada-4ae7-ab9a-bc66c8fcee7e","FractalGeneticOptimization","BTC-USDT","Binance","short","20932.98","21075.091337596154","0.407","17.097285034401633","8519.72286","-74.93659943603633","-0.879566162742955","2760.0","1674165600000.0","1674168360000.0"
"c6f7fc82-344e-45d6-8ed7-9deb7e86bd7a","FractalGeneticOptimization","BTC-USDT","Binance","short","21028.43","21168.25050564885","0.402","16.96306556327084","8453.42886","-73.1709088341091","-0.8655766795452644","10860.0","1674170100000.0","1674180960000.0"
"8b0f8a5a-3b37-4d6c-91ca-4a9357f3e0dc","FractalGeneticOptimization","BTC-USDT","Binance","short","21079.659999999996","20881.477929062974","0.397","16.658571757838","8368.62502","62.019710404159824","0.7410979731549715","15360.0","1674183600000.0","1674198960000.0"
