id,strategy_name,symbol,exchange,type,entry_price,exit_price,qty,opened_at,closed_at,fee,size,PNL,PNL_percentage,holding_period,orders
b16d29f3-4260-4a09-b391-8ad19d896643,FractalGeneticOptimization,BTC-USDT,Binance,short,16542.55,16569.814927323983,0.572,1672580700000.0,1672588860000.0,18.940272738429318,9462.3386,-34.53581116774817,-0.36498177276966365,8160.0,"[{'id': '4a3b9b2f-e121-42b2-977b-d7b33bef412b', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.572, 'filled_qty': 0, 'price': 16542.55, 'status': 'EXECUTED', 'created_at': 1672580700000.0, 'canceled_at': None, 'executed_at': 1672580700000.0}, {'id': '4035c3a1-2c0b-4c80-b0f9-54ea78f8207f', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.572, 'filled_qty': 0, 'price': 16569.814927323983, 'status': 'EXECUTED', 'created_at': 1672580700000.0, 'canceled_at': None, 'executed_at': 1672588860000.0}]"
71af0825-ee75-4544-8144-2cd51d7163ec,FractalGeneticOptimization,BTC-USDT,Binance,short,16591.88,16620.59567915194,0.568,1672599600000.0,1672600560000.0,18.8646861857583,9424.18784,-35.175191944058724,-0.3732437483340604,960.0,"[{'id': 'd4ac9e2c-3fc4-4484-ac86-95e5ef512649', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.568, 'filled_qty': 0, 'price': 16591.88, 'status': 'EXECUTED', 'created_at': 1672599600000.0, 'canceled_at': None, 'executed_at': 1672599600000.0}, {'id': '06f8cf21-b353-4719-b1b5-46f7e3ce1ea9', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.568, 'filled_qty': 0, 'price': 16620.59567915194, 'status': 'EXECUTED', 'created_at': 1672599600000.0, 'canceled_at': None, 'executed_at': 1672600560000.0}]"
5ddb154a-9991-42be-bd60-2eddaee8ba5e,FractalGeneticOptimization,BTC-USDT,Binance,short,16603.08,16556.760718752925,0.566,1672603200000.0,1672621260000.0,18.768469846814153,9397.343280000001,7.4482433390314355,0.07925903222970732,18060.0,"[{'id': 'e7068f32-5a02-4024-ba3d-640f81619a23', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.566, 'filled_qty': 0, 'price': 16603.08, 'status': 'EXECUTED', 'created_at': 1672603200000.0, 'canceled_at': None, 'executed_at': 1672603200000.0}, {'id': '839cfdf6-5bb2-4f7b-bfb5-a9e9fe37f13e', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'LIMIT', 'qty': 0.566, 'filled_qty': 0, 'price': 16556.760718752925, 'status': 'EXECUTED', 'created_at': 1672603200000.0, 'canceled_at': None, 'executed_at': 1672621260000.0}]"
6102417e-024e-4e1b-8930-9fb9e3844c73,FractalGeneticOptimization,BTC-USDT,Binance,short,16584.06,16613.387257062735,0.567,1672630200000.0,1672631160000.0,18.822952594754575,9403.16202,-35.45150734932483,-0.37701687234487136,960.0,"[{'id': '4d308339-e6cd-479b-bb8f-c377e50d3c9d', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.567, 'filled_qty': 0, 'price': 16584.06, 'status': 'EXECUTED', 'created_at': 1672630200000.0, 'canceled_at': None, 'executed_at': 1672630200000.0}, {'id': 'c1c1af6c-51c1-411a-8bf1-681248f49c34', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.567, 'filled_qty': 0, 'price': 16613.387257062735, 'status': 'EXECUTED', 'created_at': 1672630200000.0, 'canceled_at': None, 'executed_at': 1672631160000.0}]"
f6fcc4c8-67be-4b9b-ac85-5a9f89abe489,FractalGeneticOptimization,BTC-USDT,Binance,short,16640.79,16686.057423702852,0.563,1672633800000.0,1672642860000.0,18.763015099544706,9368.76477,-44.24857464425003,-0.4722989180595045,9060.0,"[{'id': 'f4755d27-83e8-48ba-a836-9652cb7e8088', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.563, 'filled_qty': 0, 'price': 16640.79, 'status': 'EXECUTED', 'created_at': 1672633800000.0, 'canceled_at': None, 'executed_at': 1672633800000.0}, {'id': 'd08b3c5f-d58c-4fd8-8606-2cc98f612cce', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.563, 'filled_qty': 0, 'price': 16686.057423702852, 'status': 'EXECUTED', 'created_at': 1672633800000.0, 'canceled_at': None, 'executed_at': 1672642860000.0}]"
c1d1c0ec-174b-416e-9dbf-c332719b0cdd,FractalGeneticOptimization,BTC-USDT,Binance,short,16742.46,16652.12036672697,0.557,1672649100000.0,1672704060000.0,18.60078126426692,9325.550220000001,31.718394468810743,0.3401235714841364,54960.0,"[{'id': '35a0c242-b495-4090-8ee9-7b1a9f3d26bf', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.557, 'filled_qty': 0, 'price': 16742.46, 'status': 'EXECUTED', 'created_at': 1672649100000.0, 'canceled_at': None, 'executed_at': 1672649100000.0}, {'id': 'a6e2422f-907d-4f3d-a864-730c0fa08a14', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'LIMIT', 'qty': 0.557, 'filled_qty': 0, 'price': 16652.12036672697, 'status': 'EXECUTED', 'created_at': 1672649100000.0, 'canceled_at': None, 'executed_at': 1672704060000.0}]"
13b677b4-72fc-4309-b71e-efbc5fae45ed,FractalGeneticOptimization,BTC-USDT,Binance,long,16682.79,16754.614282438946,0.561,1672705800000.0,1672725660000.0,18.758383802448254,9359.04519,21.535038645800103,0.23009867148424465,19860.0,"[{'id': 'b5fd6b43-907b-4c8d-abdd-84d7aa6c6555', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'MARKET', 'qty': 0.561, 'filled_qty': 0, 'price': 16682.79, 'status': 'EXECUTED', 'created_at': 1672705800000.0, 'canceled_at': None, 'executed_at': 1672705800000.0}, {'id': '2a049eb9-07b4-4ccf-84e9-77605e335b4b', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'LIMIT', 'qty': -0.561, 'filled_qty': 0, 'price': 16754.614282438946, 'status': 'EXECUTED', 'created_at': 1672705800000.0, 'canceled_at': None, 'executed_at': 1672725660000.0}]"
fa5e5f49-1bb2-43e9-8d3a-15bce2cc1dd1,FractalGeneticOptimization,BTC-USDT,Binance,long,16729.74,16691.265352106453,0.561,1672732800000.0,1672757160000.0,18.749184002531724,9385.384140000002,-40.33346147081245,-0.4297475827218772,24360.0,"[{'id': '8c4836f9-804a-4275-9016-4487affb25f1', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'MARKET', 'qty': 0.561, 'filled_qty': 0, 'price': 16729.74, 'status': 'EXECUTED', 'created_at': 1672732800000.0, 'canceled_at': None, 'executed_at': 1672732800000.0}, {'id': '563f9d8c-90e2-4a98-bdef-f57355065ff2', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'STOP', 'qty': -0.561, 'filled_qty': 0, 'price': 16691.265352106453, 'status': 'EXECUTED', 'created_at': 1672732800000.0, 'canceled_at': None, 'executed_at': 1672757160000.0}]"
3bfd3cb1-3c0f-4aa3-a71c-c21c389d2553,FractalGeneticOptimization,BTC-USDT,Binance,long,16643.37,16719.214035772882,0.561,1672776000000.0,1672794060000.0,18.716409644068587,9336.93057,23.832094424518903,0.25524549257217943,18060.0,"[{'id': 'dece9d32-e71c-4573-8192-e79688f5d94d', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'MARKET', 'qty': 0.561, 'filled_qty': 0, 'price': 16643.37, 'status': 'EXECUTED', 'created_at': 1672776000000.0, 'canceled_at': None, 'executed_at': 1672776000000.0}, {'id': 'eb6378d6-a801-469f-a813-c9502e91dad6', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'LIMIT', 'qty': -0.561, 'filled_qty': 0, 'price': 16719.214035772882, 'status': 'EXECUTED', 'created_at': 1672776000000.0, 'canceled_at': None, 'executed_at': 1672794060000.0}]"
7c77c918-c207-41c8-8455-be228c22f757,FractalGeneticOptimization,BTC-USDT,Binance,short,16850.43,16921.7288079794,0.556,1672806600000.0,1672853460000.0,18.77732029723655,9368.839080000002,-58.419457533783685,-0.6235506559024352,46860.0,"[{'id': '5dea99c4-e8d4-4736-8ee4-660c9b8ef7de', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.556, 'filled_qty': 0, 'price': 16850.43, 'status': 'EXECUTED', 'created_at': 1672806600000.0, 'canceled_at': None, 'executed_at': 1672806600000.0}, {'id': 'f792fded-8bed-4d35-9b15-073e34138ec8', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.556, 'filled_qty': 0, 'price': 16921.7288079794, 'status': 'EXECUTED', 'created_at': 1672806600000.0, 'canceled_at': None, 'executed_at': 1672853460000.0}]"
