#{"t_start": 1753082086.1625764, "env_id": "None"}
r,l,t
341.510329,500,7.986405
76.036292,500,11.080396
168.649123,500,15.168265
161.380737,500,18.523182
241.531835,500,22.990528
67.519649,500,26.224384
67.519649,500,29.468146
67.519649,500,32.804312
67.519649,500,35.968681
67.519649,500,39.022804
